Subgroup,Phase,Time Period,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
Tennessee,1,5,2020-05-28,2020-06-02,38.0,34.7,41.4
Texas,1,5,2020-05-28,2020-06-02,43.8,40.9,46.8
Utah,1,5,2020-05-28,2020-06-02,43.1,38.9,47.4
Vermont,1,5,2020-05-28,2020-06-02,44.3,38.2,50.6
Virginia,1,5,2020-05-28,2020-06-02,40.9,37.1,44.8
Washington,1,5,2020-05-28,2020-06-02,47.5,43.7,51.3
West Virginia,1,5,2020-05-28,2020-06-02,45.7,39.8,51.7
Wisconsin,1,5,2020-05-28,2020-06-02,44.5,40.2,48.9
Wyoming,1,5,2020-05-28,2020-06-02,45.7,38.9,52.6
United States,1,6,2020-06-04,2020-06-09,44.5,43.7,45.3
18 - 29 years,1,6,2020-06-04,2020-06-09,39.8,37.6,42.2
30 - 39 years,1,6,2020-06-04,2020-06-09,45.1,43.5,46.8
40 - 49 years,1,6,2020-06-04,2020-06-09,47.6,45.7,49.5
50 - 59 years,1,6,2020-06-04,2020-06-09,47.2,45.4,49.0
60 - 69 years,1,6,2020-06-04,2020-06-09,45.2,43.1,47.3
70 - 79 years,1,6,2020-06-04,2020-06-09,41.2,38.7,43.8
80 years and above,1,6,2020-06-04,2020-06-09,37.9,32.0,44.1
Male,1,6,2020-06-04,2020-06-09,39.5,38.1,40.8
Female,1,6,2020-06-04,2020-06-09,49.2,48.0,50.4
Hispanic or Latino,1,6,2020-06-04,2020-06-09,44.5,42.1,46.8
"Non-Hispanic White, single race",1,6,2020-06-04,2020-06-09,44.5,43.5,45.5
"Non-Hispanic Black, single race",1,6,2020-06-04,2020-06-09,43.8,41.6,46.1
"Non-Hispanic Asian, single race",1,6,2020-06-04,2020-06-09,37.2,33.1,41.5
"Non-Hispanic, other races and multiple races",1,6,2020-06-04,2020-06-09,54.6,50.0,59.1
Less than a high school diploma,1,6,2020-06-04,2020-06-09,40.8,35.7,46.1
High school diploma or GED,1,6,2020-06-04,2020-06-09,40.2,38.3,42.2
Some college/Associate's degree,1,6,2020-06-04,2020-06-09,47.5,46.1,49.0
Bachelor's degree or higher,1,6,2020-06-04,2020-06-09,46.5,45.7,47.4
Alabama,1,6,2020-06-04,2020-06-09,46.4,39.6,53.2
Alaska,1,6,2020-06-04,2020-06-09,49.7,44.2,55.2
Arizona,1,6,2020-06-04,2020-06-09,46.2,42.4,50.2
Arkansas,1,6,2020-06-04,2020-06-09,45.1,40.0,50.3
California,1,6,2020-06-04,2020-06-09,44.8,41.3,48.4
Colorado,1,6,2020-06-04,2020-06-09,44.2,39.6,48.8
